,ACN US Equity,AMD US Equity,AKAM US Equity,ADSK US Equity,CA US Equity,GIB US Equity,CSCO US Equity,EMC US Equity,HPQ US Equity,INTC US Equity,IBM US Equity,MSFT US Equity,MSI US Equity,NVDA US Equity,RAX US Equity,SYMC US Equity,TEL US Equity,TDC US Equity,TXN US Equity,XRX US Equity
10/31/13,$73.50 ,$3.34 ,$44.76 ,$39.90 ,$31.76 ,$33.56 ,$22.56 ,$24.07 ,$11.06 ,$24.47 ,$179.21 ,$35.41 ,$62.52 ,$15.19 ,$51.23 ,$22.76 ,$51.49 ,$44.07 ,$42.09 ,$9.94 
11/1/13,$73.00 ,$3.31 ,$45.07 ,$41.89 ,$31.73 ,$33.24 ,$22.57 ,$23.65 ,$11.77 ,$24.33 ,$179.23 ,$35.53 ,$62.39 ,$15.26 ,$50.60 ,$22.77 ,$51.21 ,$44.00 ,$42.03 ,$10.02 
11/4/13,$72.71 ,$3.32 ,$45.67 ,$41.80 ,$31.86 ,$33.26 ,$22.58 ,$23.58 ,$11.70 ,$24.26 ,$180.27 ,$35.94 ,$62.71 ,$14.82 ,$50.40 ,$22.91 ,$51.90 ,$43.01 ,$41.99 ,$10.19 
11/5/13,$73.36 ,$3.33 ,$45.21 ,$41.71 ,$31.65 ,$33.77 ,$23.07 ,$23.55 ,$11.56 ,$24.03 ,$177.85 ,$36.64 ,$62.68 ,$14.80 ,$49.94 ,$22.68 ,$51.76 ,$42.63 ,$41.90 ,$10.28 
11/6/13,$75.04 ,$3.32 ,$45.16 ,$42.02 ,$31.99 ,$33.98 ,$23.28 ,$23.91 ,$11.63 ,$24.25 ,$179.19 ,$38.18 ,$62.65 ,$14.90 ,$49.35 ,$23.13 ,$52.32 ,$42.98 ,$42.14 ,$10.31 
11/7/13,$75.55 ,$3.28 ,$44.48 ,$41.76 ,$31.66 ,$33.74 ,$23.11 ,$23.87 ,$11.66 ,$24.06 ,$180.00 ,$37.50 ,$62.49 ,$14.55 ,$47.68 ,$22.83 ,$51.73 ,$43.41 ,$41.65 ,$10.09 
11/8/13,$75.24 ,$3.27 ,$45.27 ,$42.76 ,$31.93 ,$34.04 ,$23.51 ,$23.95 ,$11.78 ,$24.09 ,$179.99 ,$37.78 ,$63.12 ,$15.56 ,$48.54 ,$23.16 ,$52.22 ,$43.50 ,$41.98 ,$10.30 
11/11/13,$75.49 ,$3.34 ,$45.24 ,$43.48 ,$32.09 ,$34.51 ,$23.45 ,$23.87 ,$11.96 ,$24.17 ,$182.88 ,$37.59 ,$63.51 ,$15.69 ,$49.31 ,$23.21 ,$51.81 ,$43.79 ,$41.79 ,$10.28 
11/12/13,$76.30 ,$3.44 ,$45.11 ,$43.61 ,$32.13 ,$35.39 ,$23.73 ,$24.25 ,$11.90 ,$24.43 ,$183.07 ,$37.36 ,$64.24 ,$15.72 ,$43.45 ,$23.05 ,$51.91 ,$43.93 ,$41.85 ,$10.69 
11/13/13,$77.41 ,$3.54 ,$46.53 ,$43.54 ,$32.83 ,$35.97 ,$24.00 ,$24.21 ,$12.03 ,$24.60 ,$183.55 ,$38.16 ,$64.45 ,$16.15 ,$42.68 ,$23.17 ,$52.20 ,$44.95 ,$42.39 ,$11.04 
11/14/13,$77.06 ,$3.52 ,$46.17 ,$44.13 ,$32.68 ,$37.51 ,$21.37 ,$23.74 ,$11.38 ,$24.39 ,$182.21 ,$38.02 ,$64.58 ,$16.22 ,$41.67 ,$23.49 ,$51.61 ,$44.80 ,$42.63 ,$11.03 
11/15/13,$78.02 ,$3.50 ,$45.76 ,$44.11 ,$32.85 ,$37.92 ,$21.54 ,$24.00 ,$11.45 ,$24.52 ,$183.19 ,$37.84 ,$65.57 ,$16.17 ,$42.21 ,$23.58 ,$52.39 ,$45.59 ,$42.55 ,$11.04 
11/18/13,$78.52 ,$3.47 ,$45.73 ,$43.30 ,$32.75 ,$38.17 ,$21.29 ,$23.92 ,$11.35 ,$24.60 ,$184.47 ,$37.20 ,$65.42 ,$15.78 ,$41.08 ,$23.65 ,$52.50 ,$45.45 ,$42.44 ,$11.09 
11/19/13,$78.47 ,$3.42 ,$45.35 ,$42.28 ,$32.39 ,$37.65 ,$21.42 ,$23.84 ,$11.35 ,$24.70 ,$185.25 ,$36.74 ,$64.61 ,$15.44 ,$39.90 ,$23.56 ,$50.94 ,$45.22 ,$42.15 ,$11.22 
11/20/13,$78.16 ,$3.42 ,$45.22 ,$42.34 ,$32.24 ,$38.08 ,$21.23 ,$23.87 ,$11.32 ,$24.56 ,$185.19 ,$37.08 ,$64.58 ,$15.21 ,$39.81 ,$23.38 ,$51.37 ,$45.40 ,$41.93 ,$10.98 
11/21/13,$78.43 ,$3.37 ,$44.45 ,$43.53 ,$32.59 ,$38.47 ,$21.47 ,$23.94 ,$11.36 ,$25.23 ,$184.13 ,$37.40 ,$65.41 ,$15.33 ,$39.66 ,$23.55 ,$53.17 ,$45.70 ,$42.44 ,$11.07 
11/22/13,$77.84 ,$3.34 ,$44.20 ,$45.86 ,$33.13 ,$38.57 ,$21.46 ,$24.09 ,$11.47 ,$23.87 ,$181.30 ,$37.57 ,$65.88 ,$15.18 ,$38.43 ,$23.34 ,$52.99 ,$45.29 ,$42.64 ,$11.22 
11/25/13,$77.21 ,$3.39 ,$44.63 ,$45.39 ,$32.86 ,$38.59 ,$21.27 ,$23.75 ,$11.50 ,$23.75 ,$178.94 ,$37.64 ,$65.79 ,$15.51 ,$37.14 ,$23.10 ,$52.96 ,$45.22 ,$42.55 ,$11.23 
11/26/13,$77.37 ,$3.45 ,$44.27 ,$45.28 ,$33.00 ,$37.72 ,$21.21 ,$23.54 ,$11.39 ,$23.65 ,$177.31 ,$37.35 ,$65.57 ,$15.64 ,$36.93 ,$22.72 ,$52.57 ,$45.38 ,$42.70 ,$11.26 
