,A
TICKER,Sharpe,Avg Return,fcfTest Test,pbTest Test,deTest Test,roaTest Test,peTest Test,epsTest Test,roeTest Test,RETURN,PE,PB,EPS,DE,FCF,ROE,ROA,MC,BETA,PE Score,PB Score,EPS Score,DE Score,FCF Score,ROE Score,ROA Score,BETA Score,FTG Score
SBUX:US,-15.510558653458899,-0.03200000000000001,40,0,40,3,3,10,3,-0.05,35.45,8.81,17.14,10.7,43.85,28.13,17.69,86647596000.0,1.07,False,False,True,True,True,True,True,9.345794392523364e-05,5.000093457943925
SBUX:US,-15.510558653458899,-0.031999999999999994,40,0,40,4,3,10,3,-0.05,35.45,8.81,17.14,10.7,43.85,28.13,17.69,86647596000.0,1.07,False,False,True,True,True,True,True,9.345794392523364e-05,5.000093457943925
SBUX:US,-15.510558653458899,-0.03200000000000001,40,0,40,3,3,10,4,-0.05,35.45,8.81,17.14,10.7,43.85,28.13,17.69,86647596000.0,1.07,False,False,True,True,True,True,True,9.345794392523364e-05,5.000093457943925
SBUX:US,-15.510558653458899,-0.031999999999999994,40,0,40,4,3,10,4,-0.05,35.45,8.81,17.14,10.7,43.85,28.13,17.69,86647596000.0,1.07,False,False,True,True,True,True,True,9.345794392523364e-05,5.000093457943925
ADS:GR,-4.326536497465823,-0.065,10,0,10,3,3,20,3,-0.03,19.98,2.38,38.0,31.63,23.59,14.06,6.49,15546227133.0,0.68,False,False,True,False,True,True,True,0.00014705882352941175,4.000147058823529
ADS:GR,-4.538370248368701,-0.06600000000000002,10,0,10,4,3,20,3,-0.03,19.98,2.38,38.0,31.63,23.59,14.06,6.49,15546227133.0,0.68,False,False,True,False,True,True,True,0.00014705882352941175,4.000147058823529
ADS:GR,-4.326536497465823,-0.065,10,0,10,3,3,20,4,-0.03,19.98,2.38,38.0,31.63,23.59,14.06,6.49,15546227133.0,0.68,False,False,True,False,True,True,True,0.00014705882352941175,4.000147058823529
ADS:GR,-4.538370248368701,-0.06600000000000002,10,0,10,4,3,20,4,-0.03,19.98,2.38,38.0,31.63,23.59,14.06,6.49,15546227133.0,0.68,False,False,True,False,True,True,True,0.00014705882352941175,4.000147058823529
ADS:GR,-4.419803718029742,-0.055000000000000014,20,0,10,3,3,20,3,-0.03,19.98,2.38,38.0,31.63,23.59,14.06,6.49,15546227133.0,0.68,False,False,True,False,True,True,True,0.00014705882352941175,4.000147058823529
ADS:GR,-4.417033914810912,-0.07400000000000002,20,0,10,4,3,20,3,-0.03,19.98,2.38,38.0,31.63,23.59,14.06,6.49,15546227133.0,0.68,False,False,True,False,True,True,True,0.00014705882352941175,4.000147058823529
ADS:GR,-4.419803718029742,-0.055000000000000014,20,0,10,3,3,20,4,-0.03,19.98,2.38,38.0,31.63,23.59,14.06,6.49,15546227133.0,0.68,False,False,True,False,True,True,True,0.00014705882352941175,4.000147058823529
ADS:GR,-4.417033914810912,-0.07400000000000002,20,0,10,4,3,20,4,-0.03,19.98,2.38,38.0,31.63,23.59,14.06,6.49,15546227133.0,0.68,False,False,True,False,True,True,True,0.00014705882352941175,4.000147058823529
VOW:GR,-4.419803718029742,-0.05500000000000001,30,0,10,3,3,20,3,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657.0,1.06,False,False,True,False,True,True,True,9.433962264150943e-05,4.000094339622642
VOW:GR,-4.512526443119804,-0.069,30,0,10,4,3,20,3,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657.0,1.06,False,False,True,False,True,True,True,9.433962264150943e-05,4.000094339622642
VOW:GR,-4.419803718029742,-0.05500000000000001,30,0,10,3,3,20,4,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657.0,1.06,False,False,True,False,True,True,True,9.433962264150943e-05,4.000094339622642
VOW:GR,-4.512526443119804,-0.069,30,0,10,4,3,20,4,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657.0,1.06,False,False,True,False,True,True,True,9.433962264150943e-05,4.000094339622642
VOW:GR,-4.995379950534536,-0.041999999999999996,40,0,10,3,3,20,3,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657.0,1.06,False,False,True,False,True,True,True,9.433962264150943e-05,4.000094339622642
VOW:GR,-4.512526443119802,-0.06899999999999999,40,0,10,4,3,20,3,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657.0,1.06,False,False,True,False,True,True,True,9.433962264150943e-05,4.000094339622642
VOW:GR,-4.995379950534536,-0.041999999999999996,40,0,10,3,3,20,4,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657.0,1.06,False,False,True,False,True,True,True,9.433962264150943e-05,4.000094339622642
VOW:GR,-4.512526443119802,-0.06899999999999999,40,0,10,4,3,20,4,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657.0,1.06,False,False,True,False,True,True,True,9.433962264150943e-05,4.000094339622642
ADS:GR,-4.448683926906603,-0.06899999999999999,10,0,20,3,3,20,3,-0.03,19.98,2.38,38.0,31.63,23.59,14.06,6.49,15546227133.0,0.68,False,False,True,False,True,True,True,0.00014705882352941175,4.000147058823529
ADS:GR,-4.52939225688913,-0.063,10,0,20,4,3,20,3,-0.03,19.98,2.38,38.0,31.63,23.59,14.06,6.49,15546227133.0,0.68,False,False,True,False,True,True,True,0.00014705882352941175,4.000147058823529
ADS:GR,-4.448683926906603,-0.06899999999999999,10,0,20,3,3,20,4,-0.03,19.98,2.38,38.0,31.63,23.59,14.06,6.49,15546227133.0,0.68,False,False,True,False,True,True,True,0.00014705882352941175,4.000147058823529
ADS:GR,-4.52939225688913,-0.063,10,0,20,4,3,20,4,-0.03,19.98,2.38,38.0,31.63,23.59,14.06,6.49,15546227133.0,0.68,False,False,True,False,True,True,True,0.00014705882352941175,4.000147058823529
ADS:GR,-4.419803718029742,-0.05499999999999999,20,0,20,3,3,20,3,-0.03,19.98,2.38,38.0,31.63,23.59,14.06,6.49,15546227133.0,0.68,False,False,True,False,True,True,True,0.00014705882352941175,4.000147058823529
ADS:GR,-4.5333234074988455,-0.062,20,0,20,4,3,20,3,-0.03,19.98,2.38,38.0,31.63,23.59,14.06,6.49,15546227133.0,0.68,False,False,True,False,True,True,True,0.00014705882352941175,4.000147058823529
ADS:GR,-4.419803718029742,-0.05499999999999999,20,0,20,3,3,20,4,-0.03,19.98,2.38,38.0,31.63,23.59,14.06,6.49,15546227133.0,0.68,False,False,True,False,True,True,True,0.00014705882352941175,4.000147058823529
ADS:GR,-4.5333234074988455,-0.062,20,0,20,4,3,20,4,-0.03,19.98,2.38,38.0,31.63,23.59,14.06,6.49,15546227133.0,0.68,False,False,True,False,True,True,True,0.00014705882352941175,4.000147058823529
VOW:GR,-4.419803718029742,-0.05500000000000001,30,0,20,3,3,20,3,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657.0,1.06,False,False,True,False,True,True,True,9.433962264150943e-05,4.000094339622642
VOW:GR,-4.533323407498844,-0.06200000000000001,30,0,20,4,3,20,3,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657.0,1.06,False,False,True,False,True,True,True,9.433962264150943e-05,4.000094339622642
VOW:GR,-4.419803718029742,-0.05500000000000001,30,0,20,3,3,20,4,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657.0,1.06,False,False,True,False,True,True,True,9.433962264150943e-05,4.000094339622642
